"CENSUS_YEAR","GEO_CODE (POR)","GEO_LEVEL","GEO_NAME","GNR","DATA_QUALITY_FLAG","ALT_GEO_CODE","GEO_CODE (POW)","GEO_LEVEL","GEO_NAME","GNR","DATA_QUALITY_FLAG","ALT_GEO_CODE","Dim: Sex (3): Member ID: [1]: Total - Sex","Dim: Sex (3): Member ID: [2]: Male","Dim: Sex (3): Member ID: [3]: Female"
2016,"1202","2","Yarmouth",6.9,"00000","1202","1205","2","Annapolis",5.7,"00000","1205",20,10,20
2016,"1202","2","Yarmouth",6.9,"00000","1202","1209","2","Halifax",3.1,"00000","1209",65,30,40
2016,"1203","2","Digby",8.3,"00000","1203","1202","2","Yarmouth",2.5,"00000","1202",445,165,285
2016,"1203","2","Digby",8.3,"00000","1203","1203","2","Digby",5.5,"00000","1203",4605,2040,2565
2016,"1203","2","Digby",8.3,"00000","1203","1205","2","Annapolis",5.7,"00000","1205",220,105,120
2016,"1203","2","Digby",8.3,"00000","1203","1207","2","Kings",3.5,"00000","1207",30,25,10
2016,"1203","2","Digby",8.3,"00000","1203","1209","2","Halifax",3.1,"00000","1209",40,25,10
2016,"1204","2","Queens",7.7,"00001","1204","1201","2","Shelburne",4.3,"00000","1201",70,40,35
2016,"1204","2","Queens",7.7,"00001","1204","1202","2","Yarmouth",2.5,"00000","1202",20,0,15
2016,"1204","2","Queens",7.7,"00001","1204","1204","2","Queens",6.7,"00001","1204",1935,765,1175
2016,"1204","2","Queens",7.7,"00001","1204","1205","2","Annapolis",5.7,"00000","1205",40,30,10
2016,"1204","2","Queens",7.7,"00001","1204","1206","2","Lunenburg",2.9,"00000","1206",600,350,250
2016,"1204","2","Queens",7.7,"00001","1204","1207","2","Kings",3.5,"00000","1207",25,10,25
2016,"1204","2","Queens",7.7,"00001","1204","1208","2","Hants",3.7,"00000","1208",20,10,10
2016,"1204","2","Queens",7.7,"00001","1204","1209","2","Halifax",3.1,"00000","1209",105,60,40
2016,"1205","2","Annapolis",6.8,"00000","1205","1202","2","Yarmouth",2.5,"00000","1202",40,20,20
2016,"1205","2","Annapolis",6.8,"00000","1205","1203","2","Digby",5.5,"00000","1203",355,190,165
2016,"1205","2","Annapolis",6.8,"00000","1205","1204","2","Queens",6.7,"00001","1204",25,0,20
2016,"1205","2","Annapolis",6.8,"00000","1205","1205","2","Annapolis",5.7,"00000","1205",3525,1475,2050
2016,"1205","2","Annapolis",6.8,"00000","1205","1206","2","Lunenburg",2.9,"00000","1206",80,35,50
2016,"1205","2","Annapolis",6.8,"00000","1205","1207","2","Kings",3.5,"00000","1207",1690,925,760
2016,"1205","2","Annapolis",6.8,"00000","1205","1209","2","Halifax",3.1,"00000","1209",110,85,25
2016,"1205","2","Annapolis",6.8,"00000","1205","1210","2","Colchester",3.3,"00000","1210",25,10,15
2016,"1206","2","Lunenburg",5.7,"00000","1206","1001","2","Division No. 1",3.6,"00000","1001",20,25,0
2016,"1206","2","Lunenburg",5.7,"00000","1206","1201","2","Shelburne",4.3,"00000","1201",40,30,10
2016,"1206","2","Lunenburg",5.7,"00000","1206","1202","2","Yarmouth",2.5,"00000","1202",25,15,0
2016,"1206","2","Lunenburg",5.7,"00000","1206","1204","2","Queens",6.7,"00001","1204",415,225,195
2016,"1206","2","Lunenburg",5.7,"00000","1206","1205","2","Annapolis",5.7,"00000","1205",20,10,10
2016,"1206","2","Lunenburg",5.7,"00000","1206","1206","2","Lunenburg",2.9,"00000","1206",13500,6015,7485
2016,"1206","2","Lunenburg",5.7,"00000","1206","1207","2","Kings",3.5,"00000","1207",185,100,90
2016,"1206","2","Lunenburg",5.7,"00000","1206","1208","2","Hants",3.7,"00000","1208",55,35,20
2016,"1206","2","Lunenburg",5.7,"00000","1206","1209","2","Halifax",3.1,"00000","1209",1530,875,655
2016,"1206","2","Lunenburg",5.7,"00000","1206","1211","2","Cumberland",3.2,"00000","1211",45,20,30
2016,"1206","2","Lunenburg",5.7,"00000","1206","1214","2","Antigonish",3.3,"00000","1214",20,15,0
2016,"1206","2","Lunenburg",5.7,"00000","1206","4811","2","Division No. 11",4.0,"00000","4811",20,15,0
2016,"1207","2","Kings",5.5,"00000","1207","1202","2","Yarmouth",2.5,"00000","1202",20,10,10
2016,"1207","2","Kings",5.5,"00000","1207","1203","2","Digby",5.5,"00000","1203",35,25,10
2016,"1207","2","Kings",5.5,"00000","1207","1205","2","Annapolis",5.7,"00000","1205",740,265,475
2016,"1207","2","Kings",5.5,"00000","1207","1206","2","Lunenburg",2.9,"00000","1206",80,50,30
2016,"1207","2","Kings",5.5,"00000","1207","1207","2","Kings",3.5,"00000","1207",19380,9120,10265
2016,"1207","2","Kings",5.5,"00000","1207","1208","2","Hants",3.7,"00000","1208",600,330,265
2016,"1207","2","Kings",5.5,"00000","1207","1209","2","Halifax",3.1,"00000","1209",865,580,285
2016,"1207","2","Kings",5.5,"00000","1207","1210","2","Colchester",3.3,"00000","1210",30,25,10
2016,"1207","2","Kings",5.5,"00000","1207","1211","2","Cumberland",3.2,"00000","1211",35,30,10
2016,"1207","2","Kings",5.5,"00000","1207","1212","2","Pictou",3.7,"00000","1212",20,20,10
2016,"1207","2","Kings",5.5,"00000","1207","1217","2","Cape Breton",3.1,"00000","1217",20,15,0
2016,"1207","2","Kings",5.5,"00000","1207","1307","2","Westmorland",3.0,"00000","1307",35,25,10
2016,"1207","2","Kings",5.5,"00000","1207","3506","2","Ottawa",2.8,"00000","3506",20,10,10
2016,"1207","2","Kings",5.5,"00000","1207","4816","2","Division No. 16",8.8,"01122","4816",25,20,0
2016,"1207","2","Kings",5.5,"00000","1207","6106","2","Region 6",6.8,"00101","6106",20,25,0
2016,"1208","2","Hants",4.5,"00000","1208","1206","2","Lunenburg",2.9,"00000","1206",85,45,40
2016,"1208","2","Hants",4.5,"00000","1208","1207","2","Kings",3.5,"00000","1207",950,385,560
2016,"1208","2","Hants",4.5,"00000","1208","1208","2","Hants",3.7,"00000","1208",6315,2445,3865
2016,"1208","2","Hants",4.5,"00000","1208","1209","2","Halifax",3.1,"00000","1209",7275,3945,3325
2016,"1208","2","Hants",4.5,"00000","1208","1210","2","Colchester",3.3,"00000","1210",580,230,350
2016,"1208","2","Hants",4.5,"00000","1208","3557","2","Algoma",3.5,"20000","3557",20,10,10
2016,"1208","2","Hants",4.5,"00000","1208","4811","2","Division No. 11",4.0,"00000","4811",20,15,10
